"Date","Calories","Carbs","Fat","Protein","Food_Amount","Water_Amount","Weight","BMI","Heart_Rate","Calories_Burned","Duration_Minutes","Duration","Active_Duration","Steps"
2019-11-09,1601,165.57,47.55,103.9,2045.25,NA,169.7,27.28,88.5,136,28.16,1690000,1394000,2134
2019-11-10,1793,205.59,57.54,87,1866.5,NA,NA,NA,119,812,115.51,6931000,6927000,10404
2019-11-11,1525,183.01,32.92,100.69,1797.9,1500,169.7,27.28,104,130,23.88,1433000,1433000,2192
2019-11-12,1585,190.16,38.16,98.35,1768.9,NA,NA,NA,114.333333333333,817,123.38,7403000,7398000,10662
2019-11-13,1475,186.06,39.84,82.45,1632.5,1500,NA,NA,105.666666666667,592,110.08,6605000,6605000,9606
2019-11-14,1610,193.88,36.35,106.54,2006.5,NA,NA,NA,113.333333333333,846,132.22,7933000,7929000,11537
2019-11-15,1617,201.42,37.19,100.26,1936.5,NA,NA,NA,102,236,42.67,2560000,2560000,4020
2019-11-16,1479,157.13,56.18,74.59,1722.5,1000,NA,NA,101.5,557,106.69,6401000,6401000,9072
2019-11-17,1596,197.69,48.94,77.86,1632.5,NA,NA,NA,113.75,862,127.26,7636000,7533000,13607
2019-11-18,1770,149.64,88.31,79.85,1070.5,NA,168.4,27.07,97,476,92.18,5531000,5531000,8092
2019-11-19,1519,123.33,61.66,97.41,1944.9,NA,NA,NA,114.666666666667,591,93.38,5603000,5574000,9583
2019-11-20,1541,199.71,25.22,107.31,1825.5,NA,NA,NA,99,288,54.64,3278000,3278000,4926
2019-11-21,1378,172.69,33.67,85.28,1806.75,NA,167.5,26.93,104.333333333333,901,156,9360000,9184000,15149
2019-11-22,1398,172.69,33.87,89.68,1826.75,NA,NA,NA,110.75,900,139.35,8361000,8357000,12846
2019-11-23,1561,197.86,29.96,100.82,2565.5,NA,NA,NA,107,232,39.25,2355000,2355000,3875
2019-11-24,2134,247.85,74.44,96.3,1830.5,NA,NA,NA,114.8,997,156.88,9413000,9410000,12550
2019-11-25,1442,182.34,31.79,94.3,2230.5,1500,NA,NA,98.5,358,67.43,4046000,4046000,5877
2019-11-26,1528,182.01,45.14,93.38,1662.5,NA,NA,NA,99.3333333333333,470,86.2,5172000,5172000,7806
2019-11-27,1522,174.71,43.98,88.94,1868.5,1500,NA,NA,109.333333333333,771,122.29,7338000,7334000,10469
2019-11-28,1834,219.57,48.87,106.65,2243,NA,NA,NA,98,452,85.34,5120000,5120000,7501
2019-11-29,1324,177.38,23.99,80.21,1561.5,1500,NA,NA,120,735,101.8,6108000,6025000,11565
2019-11-30,1546,190.43,44.73,79.08,1797.5,1500,NA,NA,98.5,230,44.38,2663000,2663000,3815
