"Water_Amount","Date"
250,2019-11-11
1000,2019-11-11
250,2019-11-11
1500,2019-11-13
250,2019-11-16
250,2019-11-16
250,2019-11-16
250,2019-11-16
1500,2019-11-25
1500,2019-11-27
1500,2019-11-29
1250,2019-11-30
250,2019-11-30
1000,2019-12-01
1000,2019-12-03
500,2019-12-03
1500,2019-12-04
1250,2019-12-05
1250,2019-12-06
1500,2019-12-09
750,2019-12-18
500,2020-01-07
500,2020-01-07
500,2020-01-07
250,2020-01-08
750,2020-01-08
500,2020-01-08
1000,2020-01-10
250,2020-02-03
250,2020-02-03
250,2020-02-03
1250,2020-02-04
250,2020-02-04
250,2020-02-06
250,2020-02-06
500,2020-02-06
250,2020-02-06
250,2020-02-06
250,2020-02-06
250,2020-02-12
250,2020-02-12
500,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
250,2020-02-12
500,2020-02-13
500,2020-02-13
500,2020-02-13
250,2020-02-13
250,2020-02-13
500,2020-02-13
500,2020-02-13
250,2020-02-14
250,2020-02-14
250,2020-02-14
250,2020-02-18
250,2020-02-18
1000,2020-03-11
250,2020-03-11
250,2020-03-11
1500,2020-03-26
250,2020-06-19
250,2020-06-19
250,2020-06-19
250,2020-06-19
250,2020-06-19
250,2020-06-19
500,2020-06-19
1000,2020-06-22
250,2020-06-22
250,2020-06-22
500,2020-06-22
500,2020-06-23
500,2020-06-23
500,2020-06-23
500,2020-06-23
250,2020-06-24
250,2020-06-24
250,2020-06-24
250,2020-06-24
250,2020-06-24
250,2020-06-24
500,2020-06-24
500,2020-06-25
250,2020-06-25
250,2020-06-25
500,2020-06-25
250,2020-06-25
250,2020-06-25
250,2020-06-25
250,2020-06-25
500,2020-06-26
250,2020-06-26
250,2020-06-26
250,2020-06-26
250,2020-06-26
250,2020-06-27
250,2020-06-27
500,2020-06-27
500,2020-06-27
250,2020-06-27
250,2020-06-27
500,2020-06-28
250,2020-06-28
250,2020-06-28
250,2020-06-28
750,2020-06-28
500,2020-06-30
500,2020-06-30
250,2020-06-30
250,2020-06-30
500,2020-07-01
500,2020-07-01
250,2020-07-01
250,2020-07-01
500,2020-07-01
250,2020-07-01
250,2020-07-02
250,2020-07-02
250,2020-07-02
250,2020-07-02
250,2020-07-02
250,2020-07-02
250,2020-07-02
250,2020-07-02
250,2020-07-02
250,2020-07-03
250,2020-07-03
500,2020-07-03
250,2020-07-03
250,2020-07-03
250,2020-07-03
250,2020-07-03
250,2020-07-03
250,2020-07-03
250,2020-07-04
250,2020-07-04
500,2020-07-04
250,2020-07-04
250,2020-07-04
250,2020-07-04
250,2020-07-04
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-05
250,2020-07-06
250,2020-07-06
250,2020-07-06
250,2020-07-06
500,2020-07-06
250,2020-07-09
750,2020-07-09
500,2020-07-09
500,2020-07-09
500,2020-07-09
250,2020-07-09
500,2020-07-11
500,2020-07-11
500,2020-07-11
500,2020-07-11
750,2020-07-13
250,2020-07-13
250,2020-07-13
250,2020-07-13
250,2020-07-14
250,2020-07-14
500,2020-07-14
500,2020-07-14
500,2020-07-14
500,2020-07-15
500,2020-07-15
500,2020-07-15
250,2020-07-15
250,2020-07-15
250,2020-07-15
250,2020-07-15
500,2020-07-16
500,2020-07-16
250,2020-07-16
250,2020-07-16
500,2020-07-16
250,2020-07-16
1000,2020-07-17
500,2020-07-17
250,2020-07-17
250,2020-07-17
500,2020-07-17
500,2020-07-18
250,2020-07-18
250,2020-07-18
250,2020-07-18
250,2020-07-18
250,2020-07-18
250,2020-07-18
1500,2020-07-20
250,2020-07-20
250,2020-07-20
250,2020-07-20
250,2020-07-20
500,2020-07-21
250,2020-07-21
250,2020-07-21
250,2020-07-21
250,2020-07-21
250,2020-07-21
250,2020-07-21
500,2020-07-22
500,2020-07-22
1500,2020-07-22
500,2020-07-23
500,2020-07-23
500,2020-07-23
500,2020-07-23
250,2020-07-23
250,2020-07-23
500,2020-07-24
250,2020-07-24
250,2020-07-24
500,2020-07-24
250,2020-07-24
250,2020-07-24
250,2020-07-25
750,2020-07-25
1000,2020-07-25
1500,2020-07-27
250,2020-07-27
750,2020-07-27
500,2020-07-28
500,2020-07-28
500,2020-07-28
250,2020-07-28
250,2020-07-28
1000,2020-08-09
500,2020-08-09
500,2020-08-09
500,2020-08-10
500,2020-08-10
500,2020-08-10
500,2020-08-10
500,2020-08-10
500,2020-08-11
500,2020-08-11
500,2020-08-11
500,2020-08-11
250,2020-08-11
500,2020-08-15
500,2020-08-15
500,2020-08-15
250,2020-10-06
750,2020-10-06
500,2020-10-06
500,2020-10-07
500,2020-10-07
500,2020-10-07
500,2020-10-07
500,2020-10-08
500,2020-10-08
500,2020-10-08
500,2020-10-09
500,2020-10-12
500,2020-10-12
250,2020-10-12
250,2020-10-12
250,2020-10-12
500,2020-10-13
500,2020-10-13
500,2020-10-13
1000,2020-10-14
500,2020-10-14
500,2020-10-14
1000,2020-10-15
500,2020-10-15
500,2020-10-15
500,2020-10-16
500,2020-10-16
250,2020-10-19
250,2020-10-19
250,2020-10-19
250,2020-10-19
500,2020-10-20
250,2020-10-20
250,2020-10-20
250,2020-10-20
250,2020-10-20
250,2020-10-20
250,2020-10-20
250,2020-10-20
500,2020-10-21
500,2020-10-21
500,2020-10-21
500,2020-10-21
500,2020-10-22
500,2020-10-22
500,2020-10-22
500,2020-10-22
250,2020-10-22
500,2020-10-23
250,2020-10-23
250,2020-10-23
500,2020-10-25
500,2020-10-25
250,2020-10-25
500,2020-10-25
500,2020-10-26
250,2020-10-26
250,2020-10-26
500,2020-10-26
500,2020-10-26
250,2020-10-26
500,2020-10-28
500,2020-10-28
500,2020-10-28
500,2020-10-28
500,2020-10-30
500,2020-10-30
500,2020-10-30
500,2020-10-30
500,2020-10-31
500,2020-10-31
500,2020-10-31
500,2020-10-31
500,2020-11-02
500,2020-11-02
500,2020-11-02
500,2020-11-02
500,2020-11-02
500,2020-11-03
500,2020-11-03
500,2020-11-03
250,2020-11-03
500,2020-11-04
500,2020-11-04
500,2020-11-04
1500,2020-11-06
500,2020-11-06
1000,2020-11-08
500,2020-11-09
500,2020-11-09
500,2020-11-10
500,2020-11-10
500,2020-11-10
500,2020-11-10
500,2020-11-12
500,2020-11-12
500,2020-11-12
500,2020-11-15
500,2020-11-15
250,2020-11-15
500,2020-11-15
250,2020-11-15
1000,2020-11-18
500,2020-11-18
500,2020-11-18
250,2021-01-07
250,2021-01-07
250,2021-01-07
500,2021-01-07
500,2021-01-07
250,2021-01-07
500,2021-01-07
250,2021-01-07
250,2021-01-07
500,2021-01-09
500,2021-01-09
500,2021-01-09
500,2021-01-09
500,2021-01-10
500,2021-01-10
500,2021-01-10
500,2021-01-10
1000,2021-01-11
500,2021-01-11
500,2021-01-11
250,2021-01-11
250,2021-01-11
250,2021-01-11
500,2021-01-12
500,2021-01-12
500,2021-01-12
500,2021-01-12
250,2021-01-12
250,2021-01-12
250,2021-01-12
250,2021-01-12
500,2021-01-13
500,2021-01-13
500,2021-01-13
500,2021-01-13
500,2021-01-14
500,2021-01-14
500,2021-01-14
500,2021-01-14
500,2021-01-16
