"Food_Name","Food_Brand","Food_Amount","Food_Unit","Calories","Fat","Fiber","Carbs","Sodium","Protein","LogDate","Date"
"Weintrauben (rot/grün), frisch","",150,"gram",108,0.42,0,22.86,0,1.02,"2021-02-02",2021-02-02
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-02-02",2021-02-02
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-02-02",2021-02-02
"Linsenwaffeln","Alnatura",9,"gram",32,0.16,0,5.22,0,2.25,"2021-02-02",2021-02-02
"Salatgurke (ohne Schale), frisch","",590,"gram",71,0.94,0,12.74,0,3.48,"2021-02-02",2021-02-02
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-02-02",2021-02-02
"Rote Paprika, frisch","",150,"gram",65,0.75,0,9.6,0,1.95,"2021-02-02",2021-02-02
"Fitline Frischkäse 0,2% Fett","Exquisa",20,"gram",12,0.04,0,0.7,0,2,"2021-02-02",2021-02-02
"Tzatziki","Greco",70,"gram",92,7.07,0,3.15,0,3.78,"2021-02-02",2021-02-02
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-02-02",2021-02-02
"Cocktailtomaten","",100,"gram",21,0.3,0,3.5,0,1,"2021-02-02",2021-02-02
"Rapsöl","",7.5,"gram",66,7.5,0,0,0,0,"2021-02-02",2021-02-02
"Champion weiß","Markt Frisch",100,"gram",22,0.5,0,0.1,0,3.1,"2021-02-02",2021-02-02
"Couscous (Kuskus), gekocht","",100,"gram",147,0.68,0,28.49,0,4.92,"2021-02-02",2021-02-02
"Zuchini","Gemüse",200,"gram",34,0.6,0,6.2,0,2.4,"2021-02-02",2021-02-02
"Knoblauch, frisch","",3,"gram",4,0,0,0.85,0,0.18,"2021-02-02",2021-02-02
"Riesengarnelen Thai Curry","Almare Seafood (Aldi)",150,"gram",135,7.05,0,1.35,0,16.5,"2021-02-02",2021-02-02
"Zwiebel, frisch","",42.5,"gram",13,0.11,0,2.09,0,0.5,"2021-02-02",2021-02-02
"Fastenbutter","NÖM",20,"gram",78,8,0,0.6,0,0.8,"2021-02-02",2021-02-02
"Marmelade Erdbeere kalorienreduziert","Darbo",40,"gram",32,0,0,9.6,0,0.2,"2021-02-02",2021-02-02
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-02-02",2021-02-02
"Dinkelbrötchen","",60,"gram",136,2.04,0,22.8,0,6,"2021-02-02",2021-02-02
"Weintrauben (rot/grün), frisch","",150,"gram",108,0.42,0,22.86,0,1.02,"2021-02-01",2021-02-01
"Linsenwaffeln","Alnatura",3,"gram",11,0.05,0,1.74,0,0.75,"2021-02-01",2021-02-01
"Fitness nutritious energy","Nestlé",23.5,"gram",88,1.88,0,14.97,0,1.55,"2021-02-01",2021-02-01
"Linsenwaffeln","Alnatura",6,"gram",22,0.11,0,3.48,0,1.5,"2021-02-01",2021-02-01
"Hej crispy bar Cookie dough","Hej Natural",45,"gram",166,6.75,0,18,0,13.95,"2021-02-01",2021-02-01
"Putenfarmerschinken","Billa",50,"gram",50,1,0,3.2,0,7,"2021-02-01",2021-02-01
